Date,Closing Price (USD)
2014-12-11,341.041
2014-12-12,348.272
2014-12-13,346.742
2014-12-14,347.348
2014-12-15,348.674
2014-12-16,338.547
2014-12-17,330.536
2014-12-18,317.405
2014-12-19,306.45999
2014-12-20,319.196
2014-12-21,321.89299
2014-12-22,320.03499
2014-12-23,328.701
2014-12-24,332.053
2014-12-25,321.386
2014-12-26,318.563
2014-12-27,320.868
2014-12-28,316.009
2014-12-29,315.64
2014-12-30,313.994
2014-12-31,309.903
2015-01-01,317.204
2015-01-02,314.49899
2015-01-03,311.14099
2015-01-04,277.853
2015-01-05,270.813
2015-01-06,272.0175
2015-01-07,283.84125
2015-01-08,290.485
2015-01-09,281.03625
2015-01-10,286.688
2015-01-11,277.64999
2015-01-12,268.10199
2015-01-13,243.081
2015-01-14,219.128
2015-01-15,193.3511
2015-01-16,220.5745
2015-01-17,209.1655
2015-01-18,195.59467
2015-01-19,212.2711
2015-01-20,211.5401
2015-01-21,212.28249
2015-01-22,230.6754
2015-01-23,226.30419
2015-01-24,231.4242
2015-01-25,251.606
2015-01-26,283.59769
2015-01-27,258.5374
2015-01-28,257.447
2015-01-29,235.948
2015-01-30,233.141
2015-01-31,226.94116
2015-02-01,216.66066
2015-02-02,229.80441
2015-02-03,237.65175
2015-02-04,225.83858
2015-02-05,226.554
2015-02-06,219.75625
2015-02-07,225.46666
2015-02-08,225.73291
2015-02-09,222.78408
2015-02-10,220.16725
2015-02-11,223.00366
2015-02-12,218.72833
2015-02-13,223.96716
2015-02-14,237.65716
2015-02-15,256.21758
2015-02-16,230.1355
2015-02-17,235.71275
2015-02-18,242.93183
2015-02-19,237.1035
2015-02-20,241.07183
2015-02-21,245.70566
2015-02-22,245.145
2015-02-23,235.14141
2015-02-24,238.93183
2015-02-25,238.15225
2015-02-26,235.67716
2015-02-27,251.28908
2015-02-28,251.03416
2015-03-01,251.9314
2015-03-02,258.8485
2015-03-03,270.7625
2015-03-04,278.1172
2015-03-05,269.2606
2015-03-06,274.8977
2015-03-07,270.86109
2015-03-08,276.72789
2015-03-09,277.98519
2015-03-10,294.1886
2015-03-11,289.7149
2015-03-12,292.8678
2015-03-13,293.224
2015-03-14,282.644
2015-03-15,283.0809
2015-03-16,290.61579
2015-03-17,290.542
2015-03-18,283.7507
2015-03-19,252.44789
2015-03-20,263.4741
2015-03-21,259.913
2015-03-22,259.3943
2015-03-23,267.5549
2015-03-24,265.273
2015-03-25,246.6733
2015-03-26,245.6489
2015-03-27,246.5497
2015-03-28,248.4467
2015-03-29,246.728
2015-03-30,245.1133
2015-03-31,247.2639
2015-04-01,243.3028
2015-04-02,246.96
2015-04-03,252.0578
2015-04-04,253.4334
2015-04-05,252.0256
2015-04-06,260.3589
2015-04-07,252.0909
2015-04-08,252.8629
2015-04-09,244.0449
2015-04-10,240.9478
2015-04-11,236.4388
2015-04-12,236.5542
2015-04-13,235.522
2015-04-14,222.6009
2015-04-15,220.9126
2015-04-16,226.0171
2015-04-17,227.9255
2015-04-18,223.317
2015-04-19,223.4062
2015-04-20,223.9214
2015-04-21,224.9815
2015-04-22,235.50369
2015-04-23,234.15749
2015-04-24,233.40079
2015-04-25,228.92379
2015-04-26,219.94549
2015-04-27,219.19029
2015-04-28,227.3867
2015-04-29,225.3545
2015-04-30,225.9976
2015-05-01,236.6827
2015-05-02,233.8511
2015-05-03,236.2378
2015-05-04,240.3646
2015-05-05,235.6033
2015-05-06,235.6017
2015-05-07,230.4207
2015-05-08,237.059
2015-05-09,244.6989
2015-05-10,241.516
2015-05-11,239.4036
2015-05-12,240.00079
2015-05-13,241.3529
2015-05-14,235.5478
2015-05-15,237.5737
2015-05-16,236.657
2015-05-17,236.339
2015-05-18,236.2319
2015-05-19,233.3119
2015-05-20,232.7193
2015-05-21,234.204
2015-05-22,235.86329
2015-05-23,240.1588
2015-05-24,239.7985
2015-05-25,240.9415
2015-05-26,237.6588
2015-05-27,237.1844
2015-05-28,237.6708
2015-05-29,237.2277
2015-05-30,236.1404
2015-05-31,233.3328
2015-06-01,230.8331
2015-06-02,223.415
2015-06-03,226.6168
2015-06-04,225.444
2015-06-05,223.9665
2015-06-06,224.2525
2015-06-07,225.8403
2015-06-08,223.69459
2015-06-09,228.1884
2015-06-10,229.2025
2015-06-11,229.9599
2015-06-12,229.9082
2015-06-13,230.6695
2015-06-14,233.1445
2015-06-15,234.7473
2015-06-16,237.39899
2015-06-17,248.7435
